date;traffic-source;traffic-details;users;visits;pageviews;bounceRate;pageDepth;avgVisitDurationSeconds
2019-10-28;Link traffic;spblib.ru;1;1;1;0;1;52
2019-10-28;Link traffic;tracker.ak-dev.adc.vpn;1;1;2;0;2;10
2019-10-28;Link traffic;yandex.ru;1;1;3;0;3;96
2019-10-28;Search engine traffic;Yandex;2;2;8;50;4;125
2019-10-28;Search engine traffic;Yandex;1;3;9;33,33333333;3;406,6666667
2019-10-28;Search engine traffic;Yandex;12;15;57;0;3,8;600,4
2019-10-28;Search engine traffic;Google;1;1;1;100;1;0
2019-10-28;Search engine traffic;Google;2;2;6;0;3;113
2019-10-28;Search engine traffic;Google;8;10;14;20;1,4;36,9
2019-10-28;Social network traffic;VKontakte;2;2;5;0;2,5;41,5
2019-10-28;Social network traffic;VKontakte;3;4;4;25;1;11,5
2019-10-28;Social network traffic;VKontakte;9;15;26;13,33333333;1,73333333;420,7333333
2019-10-29;Internal traffic;;2;2;2;50;1;7
2019-10-29;Internal traffic;;4;8;16;0;2;128,875
2019-10-29;Direct traffic;;12;13;22;7,69230769;1,69230769;147,3846154
2019-10-29;Direct traffic;;2;2;13;0;6,5;276,5
2019-10-29;Direct traffic;;7;7;33;0;4,71428571;471,7142857
2019-10-29;Link traffic;tracker.ak-dev.adc.vpn;1;1;5;0;5;64
2019-10-29;Link traffic;zoon.ru;1;1;9;0;9;212
2019-10-29;Search engine traffic;Yandex;2;2;3;0;1,5;32,5
2019-10-29;Search engine traffic;Yandex;2;2;4;50;2;13,5
2019-10-29;Search engine traffic;Yandex;12;13;34;0;2,61538462;223,6153846
2019-10-29;Search engine traffic;Google;4;5;11;0;2,2;47,4
2019-10-29;Search engine traffic;Google;2;2;7;50;3,5;60
2019-10-29;Search engine traffic;Google;7;7;19;14,28571429;2,71428571;31,42857143
2019-10-29;Social network traffic;VKontakte;2;2;4;50;2;41
2019-10-29;Social network traffic;VKontakte;19;24;50;12,5;2,08333333;26,58333333
2019-10-30;Internal traffic;;3;4;8;0;2;143
2019-10-30;Direct traffic;;39;39;48;15,38461538;1,23076923;23,05128205
2019-10-30;Direct traffic;;1;1;1;100;1;0
2019-10-30;Direct traffic;;4;4;12;0;3;148,5
2019-10-30;Link traffic;crdb-petr.ucoz.ru;1;1;11;0;11;2061
2019-10-30;Link traffic;spbgaidara.ru;1;6;10;33,33333333;1,66666667;217
2019-10-30;Link traffic;spbnetrika.atlassian.net;1;1;3;0;3;98
2019-10-30;Link traffic;tracker.ak-dev.adc.vpn;1;1;3;0;3;48
2019-10-30;Search engine traffic;Yandex;1;1;1;0;1;14
2019-10-30;Search engine traffic;Yandex;2;2;5;0;2,5;38,5
2019-10-30;Search engine traffic;Yandex;8;10;31;10;3,1;114,2
2019-10-30;Search engine traffic;Google;3;3;17;0;5,66666667;162,3333333
2019-10-30;Search engine traffic;Google;1;2;3;0;1,5;853
2019-10-30;Search engine traffic;Google;15;22;53;9,09090909;2,40909091;169,5
2019-10-30;Social network traffic;VKontakte;2;2;2;0;1;95,5
2019-10-30;Social network traffic;VKontakte;17;21;78;0;3,71428571;238,8095238
2019-10-31;Internal traffic;;4;5;6;0;1,2;27,8
2019-10-31;Internal traffic;;3;3;5;0;1,66666667;220,6666667
2019-10-31;Direct traffic;;11;11;28;9,09090909;2,54545455;377,2727273
2019-10-31;Direct traffic;;2;2;7;0;3,5;186,5
2019-10-31;Direct traffic;;8;9;31;0;3,44444444;160,4444444
2019-10-31;Link traffic;cbspushkin.spb.ru;1;1;5;0;5;188
2019-10-31;Link traffic;crdb-petr.ucoz.ru;1;1;2;0;2;28
2019-10-31;Link traffic;spbgaidara.ru;1;2;6;0;3;76,5
2019-10-31;Link traffic;spblib.ru;1;1;1;100;1;0
2019-10-31;Search engine traffic;Yandex;1;1;1;0;1;15
2019-10-31;Search engine traffic;Yandex;1;1;1;0;1;15
2019-10-31;Search engine traffic;Yandex;11;11;27;9,09090909;2,45454545;123,2727273
2019-10-31;Search engine traffic;Google;3;5;20;20;4;667,8
2019-10-31;Search engine traffic;Google;1;1;1;0;1;15
2019-10-31;Search engine traffic;Google;3;3;16;0;5,33333333;299
2019-10-31;Social network traffic;VKontakte;1;1;1;100;1;0
2019-10-31;Social network traffic;VKontakte;1;1;1;0;1;15
2019-10-31;Social network traffic;VKontakte;8;9;15;33,33333333;1,66666667;167,6666667
2019-11-01;Internal traffic;;2;2;2;100;1;0
2019-11-01;Internal traffic;;4;5;5;0;1;16
2019-11-01;Direct traffic;;10;12;23;16,66666667;1,91666667;76
2019-11-01;Direct traffic;;6;8;84;0;10,5;678,375
2019-11-01;Direct traffic;;7;7;29;0;4,14285714;425,5714286
2019-11-01;Link traffic;crdb-petr.ucoz.ru;2;2;5;0;2,5;50
2019-11-01;Link traffic;peterburg2.ru;1;1;2;0;2;1659
2019-11-01;Link traffic;spbgaidara.ru;1;1;2;0;2;35
2019-11-01;Link traffic;spblib.ru;2;3;12;0;4;251,6666667
2019-11-01;Link traffic;yandex.ru;1;1;1;100;1;0
